date,location,crop,price_per_kg,temperature_c,rainfall_mm,market_arrivals_kg,festival_flag,demand_kg
2023-01-31,Gurugram,Maize,23.0,16.4,0.0,1202,0,899
2023-02-01,Gurugram,Maize,23.4,16.7,0.0,1253,0,927
2023-02-02,Gurugram,Maize,23.4,16.7,0.0,1276,0,961
2023-02-03,Gurugram,Maize,23.5,16.5,0.0,1304,0,961
2023-02-04,Gurugram,Maize,23.8,16.8,0.5,1318,0,986
2023-02-05,Gurugram,Maize,23.8,16.9,0.0,1346,0,998
2023-02-06,Gurugram,Maize,23.9,17.0,0.0,1403,0,1034
2023-02-07,Gurugram,Maize,23.9,17.3,0.0,1407,0,1062
2023-02-08,Gurugram,Maize,24.1,17.1,0.0,1445,0,1079
2023-02-09,Gurugram,Maize,24.2,17.3,0.0,1486,1,1207
2023-02-10,Faridabad,Maize,21.5,17.0,1.5,1157,0,873
2023-02-11,Faridabad,Maize,21.6,17.2,0.0,1183,0,879
2023-02-12,Faridabad,Maize,21.7,17.1,1.0,1229,0,917
2023-02-13,Faridabad,Maize,21.9,17.3,1.1,1262,0,946
2023-02-14,Faridabad,Maize,22.0,17.5,0.0,1292,0,971
2023-02-15,Faridabad,Maize,22.1,17.2,0.0,1310,0,976
2023-02-16,Faridabad,Maize,22.2,17.5,0.0,1353,0,1004
2023-02-17,Faridabad,Maize,22.2,17.5,0.0,1372,0,1009
2023-02-18,Faridabad,Maize,22.5,18.0,0.0,1378,0,1014
2023-02-19,Faridabad,Maize,22.5,17.6,0.0,1420,1,1162
2023-02-20,Sonipat,Maize,20.6,16.9,0.0,1039,0,777
2023-02-21,Sonipat,Maize,20.7,17.5,0.0,1059,0,785
2023-02-22,Sonipat,Maize,20.6,17.1,0.0,1097,0,810
2023-02-23,Sonipat,Maize,21.0,17.6,0.6,1136,0,850
2023-02-24,Sonipat,Maize,20.9,17.5,0.0,1163,0,863
2023-02-25,Sonipat,Maize,21.2,17.4,0.0,1177,0,876
2023-02-26,Sonipat,Maize,21.2,17.5,0.0,1189,0,883
2023-02-27,Sonipat,Maize,21.4,17.4,0.0,1223,0,908
2023-02-28,Sonipat,Maize,21.4,17.7,0.0,1284,0,946
2023-03-01,Sonipat,Maize,21.7,17.9,0.0,1285,1,1065
2023-03-02,Panipat,Maize,20.3,17.4,0.0,1008,0,760
2023-03-03,Panipat,Maize,20.2,17.5,0.0,1022,0,753
2023-03-04,Panipat,Maize,20.7,18.2,1.4,1040,0,779
2023-03-05,Panipat,Maize,20.7,18.0,0.0,1076,0,808
2023-03-06,Panipat,Maize,20.5,18.0,0.0,1091,0,819
2023-03-07,Panipat,Maize,20.8,18.0,0.0,1142,0,857
2023-03-08,Panipat,Maize,21.1,18.6,0.0,1150,0,845
2023-03-09,Panipat,Maize,21.2,18.6,0.0,1173,0,884
2023-03-10,Panipat,Maize,21.2,18.6,0.0,1210,0,897
2023-03-11,Panipat,Maize,21.5,18.6,0.0,1238,1,1021
2023-03-12,Meerut,Maize,21.9,19.2,1.0,1254,0,930
2023-03-13,Meerut,Maize,22.1,19.3,0.5,1304,0,961
2023-03-14,Meerut,Maize,22.1,19.4,1.4,1323,0,975
2023-03-15,Meerut,Maize,22.0,19.5,0.0,1344,0,1010
2023-03-16,Meerut,Maize,22.2,19.5,1.3,1410,0,1062
2023-03-17,Meerut,Maize,22.6,20.0,0.9,1426,0,1050
2023-03-18,Meerut,Maize,22.6,20.1,0.0,1467,0,1087
2023-03-19,Meerut,Maize,22.7,20.0,0.0,1493,0,1100
2023-03-20,Meerut,Maize,23.0,20.1,0.0,1523,0,1133
2023-03-21,Meerut,Maize,23.1,20.4,0.0,1565,1,1262
2023-03-22,Rohtak,Maize,21.2,20.1,0.0,949,0,706
2023-03-23,Rohtak,Maize,21.4,20.1,0.0,954,0,720
2023-03-24,Rohtak,Maize,21.4,19.9,0.0,994,0,749
2023-03-25,Rohtak,Maize,21.9,20.5,0.0,1000,0,754
2023-03-26,Rohtak,Maize,21.7,20.5,0.0,1039,0,784
2023-03-27,Rohtak,Maize,22.2,20.9,0.0,1067,0,793
2023-03-28,Rohtak,Maize,22.2,20.8,0.0,1094,0,821
2023-03-29,Rohtak,Maize,22.4,20.9,0.0,1115,0,830
2023-03-30,Rohtak,Maize,22.3,20.8,0.0,1153,0,850
2023-03-31,Rohtak,Maize,22.7,21.4,0.0,1192,1,975
2023-04-01,Delhi,Maize,23.1,21.5,0.0,2433,0,1795
2023-04-02,Delhi,Maize,23.6,21.8,1.3,2487,0,1839
2023-04-03,Delhi,Maize,23.5,21.9,0.0,2499,0,1854
2023-04-04,Delhi,Maize,23.7,21.8,0.0,2564,0,1916
2023-04-05,Delhi,Maize,23.6,21.6,0.0,2620,0,1943
2023-04-06,Delhi,Maize,23.9,22.2,0.0,2669,0,1969
2023-04-07,Delhi,Maize,24.1,22.3,0.7,2709,0,2027
2023-04-08,Delhi,Maize,24.2,22.5,0.5,2761,0,2034
2023-04-09,Delhi,Maize,24.3,22.5,0.0,2809,0,2103
2023-04-10,Delhi,Maize,24.5,22.1,1.3,2863,1,2367
2023-04-11,Noida,Maize,22.8,23.1,0.0,1464,0,1087
2023-04-12,Noida,Maize,23.1,22.9,0.0,1489,0,1108
2023-04-13,Noida,Maize,23.5,23.4,0.0,1530,0,1128
2023-04-14,Noida,Maize,23.3,23.5,0.0,1558,0,1154
2023-04-15,Noida,Maize,23.3,23.4,0.0,1612,0,1189
2023-04-16,Noida,Maize,23.6,23.4,0.0,1668,0,1252
2023-04-17,Noida,Maize,23.8,23.5,0.0,1683,0,1252
2023-04-18,Noida,Maize,23.8,23.9,0.7,1735,0,1295
2023-04-19,Noida,Maize,24.0,23.7,0.5,1760,0,1300
2023-04-20,Noida,Maize,24.1,24.0,0.0,1789,1,1458
2023-04-21,Ghaziabad,Maize,22.6,24.2,0.0,1343,0,992
2023-04-22,Ghaziabad,Maize,22.9,24.4,0.0,1377,0,1028
2023-04-23,Ghaziabad,Maize,23.1,24.5,0.7,1399,0,1035
2023-04-24,Ghaziabad,Maize,23.0,23.9,1.1,1448,0,1069
2023-04-25,Ghaziabad,Maize,23.4,25.2,0.7,1453,0,1088
2023-04-26,Ghaziabad,Maize,23.7,24.9,0.0,1496,0,1112
2023-04-27,Ghaziabad,Maize,23.6,25.0,0.0,1535,0,1134
2023-04-28,Ghaziabad,Maize,23.9,25.0,1.3,1583,0,1168
2023-04-29,Ghaziabad,Maize,24.0,25.0,0.5,1609,0,1199
2023-04-30,Ghaziabad,Maize,24.1,25.4,0.0,1630,1,1345
2023-05-01,Gurugram,Maize,25.0,25.2,0.0,1214,0,904
2023-05-02,Gurugram,Maize,25.2,25.5,0.0,1253,0,935
2023-05-03,Gurugram,Maize,25.4,25.9,1.5,1296,0,956
2023-05-04,Gurugram,Maize,25.7,26.2,0.0,1324,0,997
2023-05-05,Gurugram,Maize,25.6,25.9,0.0,1352,0,995
2023-05-06,Gurugram,Maize,25.7,26.0,0.0,1383,0,1026
2023-05-07,Gurugram,Maize,26.1,26.5,0.6,1402,0,1048
2023-05-08,Gurugram,Maize,26.1,26.6,0.0,1418,0,1052
2023-05-09,Gurugram,Maize,26.1,26.2,0.0,1486,0,1110
2023-05-10,Gurugram,Maize,26.7,27.2,1.4,1499,1,1233
2023-05-11,Faridabad,Maize,23.5,26.8,1.0,1183,0,887
2023-05-12,Faridabad,Maize,23.8,27.3,0.0,1207,0,890
2023-05-13,Faridabad,Maize,23.7,27.0,0.0,1252,0,929
2023-05-14,Faridabad,Maize,23.7,27.1,0.0,1279,0,964
2023-05-15,Faridabad,Maize,23.8,27.0,0.0,1283,0,955
2023-05-16,Faridabad,Maize,24.3,27.3,0.5,1297,0,977
2023-05-17,Faridabad,Maize,24.4,27.7,0.0,1337,0,985
2023-05-18,Faridabad,Maize,24.4,27.3,0.0,1421,0,1046
2023-05-19,Faridabad,Maize,24.5,27.5,0.0,1428,0,1051
2023-05-20,Faridabad,Maize,24.8,27.7,0.0,1442,1,1189
2023-05-21,Sonipat,Maize,22.9,27.5,0.0,1018,0,751
2023-05-22,Sonipat,Maize,23.0,27.0,1.4,1077,0,797
2023-05-23,Sonipat,Maize,23.1,27.3,0.5,1128,0,830
2023-05-24,Sonipat,Maize,23.0,27.8,0.0,1144,0,841
2023-05-25,Sonipat,Maize,23.4,27.7,1.1,1162,0,860
2023-05-26,Sonipat,Maize,23.4,27.7,0.0,1194,0,887
2023-05-27,Sonipat,Maize,23.3,27.7,0.0,1227,0,924
2023-05-28,Sonipat,Maize,23.7,28.3,0.0,1233,0,916
2023-05-29,Sonipat,Maize,23.9,27.8,0.0,1283,0,954
2023-05-30,Sonipat,Maize,23.9,27.7,0.0,1316,1,1086
2023-05-31,Panipat,Maize,22.7,28.1,0.0,1012,0,749
2023-06-01,Panipat,Maize,22.9,28.4,1.4,1039,0,767
2023-06-02,Panipat,Maize,22.8,28.0,0.0,1072,0,792
2023-06-03,Panipat,Maize,23.1,28.5,0.5,1111,0,831
2023-06-04,Panipat,Maize,22.9,28.1,0.0,1102,0,823
2023-06-05,Panipat,Maize,23.1,28.6,0.0,1125,0,835
2023-06-06,Panipat,Maize,23.5,28.5,0.0,1182,0,891
2023-06-07,Panipat,Maize,23.3,28.7,0.0,1203,0,885
2023-06-08,Panipat,Maize,23.7,29.3,0.0,1221,0,899
2023-06-09,Panipat,Maize,23.7,29.0,0.0,1272,1,1038
2023-06-10,Meerut,Maize,23.9,29.5,0.0,1278,0,954
2023-06-11,Meerut,Maize,24.1,29.6,0.0,1301,0,970
2023-06-12,Meerut,Maize,24.4,29.6,0.0,1356,0,1020
2023-06-13,Meerut,Maize,24.4,29.8,0.0,1363,0,1029
2023-06-14,Meerut,Maize,24.5,29.8,1.0,1416,0,1067
2023-06-15,Meerut,Maize,24.7,29.9,0.0,1445,0,1087
2023-06-16,Meerut,Maize,24.7,29.7,0.0,1489,0,1101
2023-06-17,Meerut,Maize,25.1,29.8,0.4,1498,0,1123
2023-06-18,Meerut,Maize,25.0,29.9,0.0,1537,0,1149
2023-06-19,Meerut,Maize,25.3,30.2,0.0,1558,1,1255
2023-06-20,Rohtak,Maize,23.6,29.9,0.0,970,0,721
2023-06-21,Rohtak,Maize,23.6,29.8,0.0,994,0,750
2023-06-22,Rohtak,Maize,23.6,29.9,0.0,1027,0,757
2023-06-23,Rohtak,Maize,23.8,30.2,0.0,1023,0,757
2023-06-24,Rohtak,Maize,23.9,30.0,0.0,1065,0,803
2023-06-25,Rohtak,Maize,24.0,30.2,0.0,1086,0,817
2023-06-26,Rohtak,Maize,24.3,30.1,0.0,1122,0,836
2023-06-27,Rohtak,Maize,24.4,30.5,0.0,1134,0,838
2023-06-28,Rohtak,Maize,24.8,30.1,1.6,1181,0,884
2023-06-29,Rohtak,Maize,24.7,30.2,1.4,1184,1,969
2023-06-30,Delhi,Maize,25.3,30.8,1.4,2461,0,1853
2023-07-01,Delhi,Maize,25.2,30.5,0.0,2493,0,1865
2023-07-02,Delhi,Maize,25.2,30.4,0.0,2541,0,1904
2023-07-03,Delhi,Maize,25.5,30.5,0.0,2584,0,1943
2023-07-04,Delhi,Maize,25.4,29.9,0.0,2630,0,1969
2023-07-05,Delhi,Maize,25.7,30.9,0.0,2697,0,2025
2023-07-06,Delhi,Maize,26.0,30.9,0.0,2745,0,2056
2023-07-07,Delhi,Maize,26.1,30.8,0.0,2807,0,2072
2023-07-08,Delhi,Maize,26.1,30.6,0.0,2831,0,2128
2023-07-09,Delhi,Maize,26.2,30.7,0.0,2893,1,2375
2023-07-10,Noida,Maize,24.6,31.1,0.0,1475,0,1107
2023-07-11,Noida,Maize,24.7,31.0,0.0,1525,0,1140
2023-07-12,Noida,Maize,24.9,31.0,0.7,1567,0,1170
2023-07-13,Noida,Maize,25.0,31.0,0.0,1591,0,1197
2023-07-14,Noida,Maize,25.0,30.9,0.0,1637,0,1228
2023-07-15,Noida,Maize,25.1,30.6,0.0,1647,0,1243
2023-07-16,Noida,Maize,25.3,30.7,1.3,1676,0,1235
2023-07-17,Noida,Maize,25.5,31.1,0.0,1722,0,1298
2023-07-18,Noida,Maize,25.7,31.0,0.0,1759,0,1307
2023-07-19,Noida,Maize,25.7,30.8,0.0,1808,1,1496
2023-07-20,Ghaziabad,Maize,24.4,30.7,1.1,1355,0,1009
2023-07-21,Ghaziabad,Maize,24.3,30.8,0.0,1399,0,1050
2023-07-22,Ghaziabad,Maize,24.3,31.0,0.0,1433,0,1054
2023-07-23,Ghaziabad,Maize,24.6,30.9,0.0,1475,0,1098
2023-07-24,Ghaziabad,Maize,24.5,30.7,0.0,1514,0,1130
2023-07-25,Ghaziabad,Maize,24.9,30.8,0.0,1517,0,1129
2023-07-26,Ghaziabad,Maize,25.0,30.7,0.0,1528,0,1149
2023-07-27,Ghaziabad,Maize,24.9,30.6,0.0,1589,0,1171
2023-07-28,Ghaziabad,Maize,25.2,30.8,0.0,1607,0,1181
2023-07-29,Ghaziabad,Maize,25.3,31.1,0.0,1643,1,1337
2023-07-30,Gurugram,Maize,26.2,30.7,0.0,1242,0,918
2023-07-31,Gurugram,Maize,26.5,31.0,0.4,1293,0,951
2023-08-01,Gurugram,Maize,26.6,31.2,0.0,1310,0,972
2023-08-02,Gurugram,Maize,26.6,30.9,0.0,1352,0,1006
2023-08-03,Gurugram,Maize,26.6,30.8,0.0,1393,0,1048
2023-08-04,Gurugram,Maize,26.7,30.6,0.0,1403,0,1050
2023-08-05,Gurugram,Maize,27.0,31.3,0.0,1426,0,1054
2023-08-06,Gurugram,Maize,26.8,30.7,0.0,1454,0,1094
2023-08-07,Gurugram,Maize,27.0,30.8,0.0,1498,0,1131
2023-08-08,Gurugram,Maize,27.5,30.3,1.4,1499,1,1234
2023-08-09,Faridabad,Maize,24.2,30.7,0.0,1197,0,894
2023-08-10,Faridabad,Maize,24.2,30.3,0.0,1235,0,923
2023-08-11,Faridabad,Maize,24.5,30.3,0.0,1263,0,941
2023-08-12,Faridabad,Maize,24.7,30.3,0.0,1287,0,959
2023-08-13,Faridabad,Maize,24.8,30.5,0.8,1298,0,974
2023-08-14,Faridabad,Maize,25.1,30.5,1.6,1330,0,980
2023-08-15,Faridabad,Maize,24.9,30.2,0.0,1364,0,1009
2023-08-16,Faridabad,Maize,25.2,30.4,0.0,1399,0,1033
2023-08-17,Faridabad,Maize,25.2,30.0,0.0,1465,0,1102
2023-08-18,Faridabad,Maize,25.2,30.2,0.0,1466,1,1182
2023-08-19,Sonipat,Maize,23.3,29.4,0.5,1071,0,794
2023-08-20,Sonipat,Maize,23.3,29.2,0.0,1109,0,825
2023-08-21,Sonipat,Maize,23.3,28.7,0.0,1162,0,859
2023-08-22,Sonipat,Maize,23.6,28.9,0.0,1147,0,863
2023-08-23,Sonipat,Maize,23.6,29.1,0.0,1172,0,873
2023-08-24,Sonipat,Maize,23.8,29.0,0.0,1214,0,893
2023-08-25,Sonipat,Maize,23.8,28.9,0.0,1245,0,925
2023-08-26,Sonipat,Maize,23.7,28.5,0.0,1271,0,960
2023-08-27,Sonipat,Maize,24.2,28.9,0.0,1293,0,973
2023-08-28,Sonipat,Maize,24.0,28.7,0.0,1338,1,1104
2023-08-29,Panipat,Maize,22.6,28.6,0.0,1040,0,776
2023-08-30,Panipat,Maize,22.6,28.4,0.7,1043,0,781
2023-08-31,Panipat,Maize,22.6,28.0,0.0,1059,0,780
2023-09-01,Panipat,Maize,23.0,28.0,0.0,1124,0,837
2023-09-02,Panipat,Maize,22.9,28.3,0.0,1133,0,840
2023-09-03,Panipat,Maize,22.9,28.0,0.0,1181,0,881
2023-09-04,Panipat,Maize,23.2,28.1,0.0,1196,0,901
2023-09-05,Panipat,Maize,23.4,27.9,1.5,1207,0,899
2023-09-06,Panipat,Maize,23.3,27.5,0.0,1230,0,912
2023-09-07,Panipat,Maize,23.6,27.9,0.0,1256,1,1024
2023-09-08,Meerut,Maize,23.6,27.9,0.0,1303,0,976
2023-09-09,Meerut,Maize,23.8,27.5,1.0,1353,0,1009
2023-09-10,Meerut,Maize,23.9,27.7,0.0,1364,0,1027
2023-09-11,Meerut,Maize,23.8,27.6,0.0,1407,0,1046
2023-09-12,Meerut,Maize,24.0,27.2,0.0,1425,0,1059
2023-09-13,Meerut,Maize,24.0,27.2,0.0,1468,0,1092
2023-09-14,Meerut,Maize,24.1,27.0,0.0,1502,0,1107
2023-09-15,Meerut,Maize,24.7,27.2,1.1,1542,0,1141
2023-09-16,Meerut,Maize,24.4,27.3,0.0,1542,0,1147
2023-09-17,Meerut,Maize,24.7,27.2,0.0,1601,1,1300
2023-09-18,Rohtak,Maize,22.7,26.4,0.0,968,0,713
2023-09-19,Rohtak,Maize,22.6,26.3,0.0,1006,0,757
2023-09-20,Rohtak,Maize,23.1,26.5,0.0,1055,0,796
2023-09-21,Rohtak,Maize,23.0,26.0,0.0,1075,0,800
2023-09-22,Rohtak,Maize,23.2,26.2,0.0,1073,0,793
2023-09-23,Rohtak,Maize,23.1,25.8,0.0,1106,0,830
2023-09-24,Rohtak,Maize,23.3,26.2,0.0,1119,0,845
2023-09-25,Rohtak,Maize,23.4,25.7,0.0,1175,0,876
2023-09-26,Rohtak,Maize,23.5,25.5,0.0,1189,0,893
2023-09-27,Rohtak,Maize,23.4,25.5,0.0,1203,1,971
2023-09-28,Delhi,Maize,23.9,25.6,0.0,2467,0,1843
2023-09-29,Delhi,Maize,24.1,25.1,0.0,2509,0,1894
2023-09-30,Delhi,Maize,24.2,25.3,0.0,2565,0,1905
2023-10-01,Delhi,Maize,24.3,25.2,0.0,2613,0,1962
2023-10-02,Delhi,Maize,24.4,25.0,0.0,2657,0,1971
2023-10-03,Delhi,Maize,24.5,24.8,0.0,2723,0,2009
2023-10-04,Delhi,Maize,24.7,25.4,0.0,2757,0,2048
2023-10-05,Delhi,Maize,24.7,24.5,0.8,2817,0,2095
2023-10-06,Delhi,Maize,24.8,24.6,0.0,2837,0,2097
2023-10-07,Delhi,Maize,24.9,24.4,0.0,2899,1,2338
2023-10-08,Noida,Maize,23.4,24.5,1.6,1529,0,1154
2023-10-09,Noida,Maize,23.2,24.4,0.0,1539,0,1152
2023-10-10,Noida,Maize,23.4,24.3,0.0,1573,0,1166
2023-10-11,Noida,Maize,23.6,24.4,0.0,1586,0,1170
2023-10-12,Noida,Maize,23.8,24.1,0.8,1664,0,1247
2023-10-13,Noida,Maize,23.6,23.9,0.0,1687,0,1256
2023-10-14,Noida,Maize,23.6,23.7,0.0,1727,0,1288
2023-10-15,Noida,Maize,23.8,23.7,0.0,1743,0,1292
2023-10-16,Noida,Maize,23.8,23.5,0.0,1813,0,1361
2023-10-17,Noida,Maize,23.8,23.0,0.0,1842,1,1503
2023-10-18,Ghaziabad,Maize,22.9,23.3,1.5,1377,0,1030
2023-10-19,Ghaziabad,Maize,22.7,23.0,0.0,1431,0,1054
2023-10-20,Ghaziabad,Maize,22.8,22.7,0.0,1448,0,1065
2023-10-21,Ghaziabad,Maize,23.1,22.9,1.2,1470,0,1089
2023-10-22,Ghaziabad,Maize,22.9,22.9,0.0,1504,0,1108
2023-10-23,Ghaziabad,Maize,23.0,22.5,0.0,1535,0,1129
2023-10-24,Ghaziabad,Maize,23.0,22.7,0.0,1568,0,1156
2023-10-25,Ghaziabad,Maize,23.2,22.2,0.0,1617,0,1206
2023-10-26,Ghaziabad,Maize,23.3,22.1,0.0,1652,0,1239
2023-10-27,Ghaziabad,Maize,23.4,22.4,0.0,1663,1,1353
2023-10-28,Gurugram,Maize,24.3,21.9,0.0,1242,0,919
2023-10-29,Gurugram,Maize,24.5,22.1,0.6,1299,0,962
2023-10-30,Gurugram,Maize,24.4,22.0,0.0,1329,0,997
2023-10-31,Gurugram,Maize,24.6,21.8,0.0,1362,0,1022
2023-11-01,Gurugram,Maize,24.6,21.4,0.0,1392,0,1046
2023-11-02,Gurugram,Maize,24.7,21.4,0.0,1431,0,1073
2023-11-03,Gurugram,Maize,25.0,21.9,0.0,1460,0,1093
2023-11-04,Gurugram,Maize,24.9,20.9,0.0,1493,0,1102
2023-11-05,Gurugram,Maize,25.0,21.1,0.0,1507,0,1132
2023-11-06,Gurugram,Maize,25.1,20.9,0.0,1558,1,1278
2023-11-07,Faridabad,Maize,22.1,20.8,0.0,1204,0,903
2023-11-08,Faridabad,Maize,22.3,20.8,1.3,1231,0,908
2023-11-09,Faridabad,Maize,22.3,20.8,0.0,1274,0,955
2023-11-10,Faridabad,Maize,22.5,20.2,0.0,1288,0,957
2023-11-11,Faridabad,Maize,22.5,20.2,0.0,1354,0,1008
2023-11-12,Faridabad,Maize,22.6,20.2,0.0,1370,0,1022
2023-11-13,Faridabad,Maize,22.8,20.7,0.0,1414,0,1063
2023-11-14,Faridabad,Maize,22.8,20.3,0.0,1443,0,1081
2023-11-15,Faridabad,Maize,22.9,20.0,0.0,1477,0,1098
2023-11-16,Faridabad,Maize,23.1,19.7,0.6,1508,1,1252
2023-11-17,Sonipat,Maize,21.0,19.2,0.0,1097,0,809
2023-11-18,Sonipat,Maize,21.1,19.2,0.0,1114,0,832
2023-11-19,Sonipat,Maize,21.0,18.7,0.0,1151,0,853
2023-11-20,Sonipat,Maize,21.0,18.5,0.0,1169,0,880
2023-11-21,Sonipat,Maize,21.2,18.7,0.0,1208,0,891
2023-11-22,Sonipat,Maize,21.4,18.1,1.2,1197,0,897
2023-11-23,Sonipat,Maize,21.5,18.5,0.0,1265,0,946
2023-11-24,Sonipat,Maize,21.5,18.4,0.0,1276,0,944
2023-11-25,Sonipat,Maize,21.6,18.3,0.0,1320,0,991
2023-11-26,Sonipat,Maize,22.1,18.6,0.9,1315,1,1070
2023-11-27,Panipat,Maize,20.1,18.1,0.0,1053,0,789
2023-11-28,Panipat,Maize,20.2,17.9,0.0,1088,0,804
2023-11-29,Panipat,Maize,20.2,17.6,0.0,1134,0,836
2023-11-30,Panipat,Maize,20.6,18.0,0.6,1138,0,849
2023-12-01,Panipat,Maize,20.6,17.5,0.0,1158,0,868
2023-12-02,Panipat,Maize,20.7,17.7,0.0,1182,0,880
2023-12-03,Panipat,Maize,21.0,17.6,0.0,1220,0,910
2023-12-04,Panipat,Maize,21.2,17.2,1.0,1233,0,908
2023-12-05,Panipat,Maize,21.0,17.2,0.0,1269,0,952
2023-12-06,Panipat,Maize,21.1,17.1,0.0,1292,1,1068
2023-12-07,Meerut,Maize,21.4,17.5,0.0,1330,0,992
2023-12-08,Meerut,Maize,21.4,17.5,0.0,1360,0,1022
2023-12-09,Meerut,Maize,21.6,17.7,0.0,1382,0,1024
2023-12-10,Meerut,Maize,21.7,17.1,0.0,1443,0,1084
2023-12-11,Meerut,Maize,21.9,17.5,0.0,1451,0,1090
2023-12-12,Meerut,Maize,21.8,17.1,0.0,1481,0,1094
2023-12-13,Meerut,Maize,22.0,17.2,0.9,1527,0,1149
2023-12-14,Meerut,Maize,22.1,17.1,0.0,1556,0,1157
2023-12-15,Meerut,Maize,22.0,16.8,0.0,1587,0,1167
2023-12-16,Meerut,Maize,22.3,16.9,0.0,1636,1,1353
2023-12-17,Rohtak,Maize,20.8,16.7,1.4,992,0,743
2023-12-18,Rohtak,Maize,20.7,16.9,0.0,1039,0,773
2023-12-19,Rohtak,Maize,20.7,16.6,0.0,1022,0,766
2023-12-20,Rohtak,Maize,20.8,16.4,0.0,1072,0,791
2023-12-21,Rohtak,Maize,21.1,16.3,0.0,1077,0,799
2023-12-22,Rohtak,Maize,21.2,16.7,0.0,1132,0,846
2023-12-23,Rohtak,Maize,21.2,16.4,0.0,1144,0,845
2023-12-24,Rohtak,Maize,21.3,16.4,0.0,1187,0,879
2023-12-25,Rohtak,Maize,21.4,16.6,0.0,1218,0,896
2023-12-26,Rohtak,Maize,21.5,16.1,0.0,1239,1,1024
2023-12-27,Delhi,Maize,22.1,16.5,0.0,2487,0,1861
2023-12-28,Delhi,Maize,22.0,16.3,0.0,2527,0,1881
2023-12-29,Delhi,Maize,22.2,16.3,0.0,2592,0,1943
2023-12-30,Delhi,Maize,22.3,16.3,0.0,2638,0,1954
2023-12-31,Delhi,Maize,22.4,16.3,0.0,2683,0,2017
2024-01-01,Delhi,Maize,22.8,16.4,0.0,2734,0,2015
2024-01-02,Delhi,Maize,22.5,15.8,0.0,2776,0,2082
2024-01-03,Delhi,Maize,23.0,15.9,1.5,2835,0,2117
2024-01-04,Delhi,Maize,22.9,16.1,0.0,2878,0,2173
2024-01-05,Delhi,Maize,23.0,16.0,0.0,2922,1,2413
2024-01-06,Noida,Maize,21.6,16.1,1.5,1534,0,1154
2024-01-07,Noida,Maize,21.6,16.4,0.0,1534,0,1137
2024-01-08,Noida,Maize,21.6,16.5,0.0,1597,0,1193
2024-01-09,Noida,Maize,21.8,16.4,0.0,1656,0,1225
2024-01-10,Noida,Maize,22.0,16.0,0.0,1672,0,1261
2024-01-11,Noida,Maize,22.1,16.2,0.0,1708,0,1277
2024-01-12,Noida,Maize,22.0,16.2,0.0,1740,0,1284
2024-01-13,Noida,Maize,22.2,16.2,0.0,1761,0,1316
2024-01-14,Noida,Maize,22.2,16.0,0.0,1805,0,1356
2024-01-15,Noida,Maize,22.4,16.0,0.0,1825,1,1512
2024-01-16,Ghaziabad,Maize,20.8,15.9,0.0,1401,0,1044
2024-01-17,Ghaziabad,Maize,21.0,15.9,0.0,1458,0,1101
2024-01-18,Ghaziabad,Maize,21.0,16.0,0.0,1460,0,1100
2024-01-19,Ghaziabad,Maize,21.3,15.8,0.0,1481,0,1113
